x,t,u
-1.4375,0.02,0.0002578
-1.40625,0.02,0.000367793
-1.375,0.02,0.000520629
-1.34375,0.02,0.000731234
-1.3125,0.02,0.00101903
-1.28125,0.02,0.001409022
-1.25,0.02,0.001933066
-1.21875,0.02,0.002631305
-1.1875,0.02,0.003553763
-1.15625,0.02,0.004762061
-1.125,0.02,0.006331207
-1.09375,0.02,0.008351389
-1.0625,0.02,0.010929659
-1.03125,0.02,0.014191386
-1,0.02,0.018281328
-0.96875,0.02,0.023364132
-0.9375,0.02,0.029624091
-0.90625,0.02,0.037263934
-0.875,0.02,0.046502503
-0.84375,0.02,0.05757112
-0.8125,0.02,0.070708577
-0.78125,0.02,0.086154687
-0.75,0.02,0.104142462
-0.71875,0.02,0.124889054
-0.6875,0.02,0.148585724
-0.65625,0.02,0.175387162
-0.625,0.02,0.205400603
-0.59375,0.02,0.2386752
-0.5625,0.02,0.275192167
-0.53125,0.02,0.314856169
-0.5,0.02,0.357488417
-0.46875,0.02,0.402821836
-0.4375,0.02,0.450498612
-0.40625,0.02,0.500070316
-0.375,0.02,0.551000719
-0.34375,0.02,0.602671358
-0.3125,0.02,0.654389819
-0.28125,0.02,0.70540071
-0.25,0.02,0.754899211
-0.21875,0.02,0.802047134
-0.1875,0.02,0.845991326
-0.15625,0.02,0.885884265
-0.125,0.02,0.920906583
-0.09375,0.02,0.950291153
-0.0625,0.02,0.973348194
-0.03125,0.02,0.989490641
0,0.02,0.998265226
0.03125,0.02,0.99943037
0.0625,0.02,0.99260231
0.09375,0.02,0.978083565
0.125,0.02,0.956016258
0.15625,0.02,0.926825954
0.1875,0.02,0.891116669
0.21875,0.02,0.849653255
0.25,0.02,0.803333324
0.28125,0.02,0.753151882
0.3125,0.02,0.700161005
0.34375,0.02,0.645427433
0.375,0.02,0.589991201
0.40625,0.02,0.534828213
0.4375,0.02,0.48081912
0.46875,0.02,0.428726081
0.5,0.02,0.379178074
0.53125,0.02,0.332664596
0.5625,0.02,0.289536901
0.59375,0.02,0.25001548
0.625,0.02,0.214202227
0.65625,0.02,0.182095751
0.6875,0.02,0.153608362
0.71875,0.02,0.128583529
0.75,0.02,0.106812813
0.78125,0.02,0.088051579
0.8125,0.02,0.072033005
0.84375,0.02,0.058480134
0.875,0.02,0.047115847
0.90625,0.02,0.037670804
0.9375,0.02,0.029889453
0.96875,0.02,0.023534294
1,0.02,0.018388604
1.03125,0.02,0.014257872
1.0625,0.02,0.010970161
1.09375,0.02,0.008375634
1.125,0.02,0.006345462
1.15625,0.02,0.004770288
1.1875,0.02,0.00355842
1.21875,0.02,0.002633885
1.25,0.02,0.001934461
1.28125,0.02,0.001409756
1.3125,0.02,0.001019402
1.34375,0.02,0.000731414
1.375,0.02,0.000520709
1.40625,0.02,0.000367824
1.4375,0.02,0.000257808
1.46875,0.02,0.000179293
1.5,0.02,0.00012372
1.53125,0.02,8.47E-05
1.5625,0.02,5.75E-05
1.59375,0.02,3.88E-05
1.625,0.02,2.59E-05
1.65625,0.02,1.72E-05
1.6875,0.02,1.13E-05
1.71875,0.02,7.41E-06
1.75,0.02,4.80E-06
1.78125,0.02,3.09E-06
1.8125,0.02,1.97E-06
1.84375,0.02,1.25E-06
1.875,0.02,7.84E-07
1.90625,0.02,4.89E-07
1.9375,0.02,3.02E-07
1.96875,0.02,1.86E-07
2,0.02,1.24E-07
-2,0.03,1.26E-07
-1.96875,0.03,1.86E-07
-1.9375,0.03,3.03E-07
-1.90625,0.03,4.90E-07
-1.875,0.03,7.86E-07
-1.84375,0.03,1.25E-06
-1.8125,0.03,1.98E-06
-1.78125,0.03,3.09E-06
-1.75,0.03,4.81E-06
-1.71875,0.03,7.42E-06
-1.6875,0.03,1.14E-05
-1.65625,0.03,1.72E-05
-1.625,0.03,2.60E-05
