x,t,u
-1.40625,0.02,0.003072082
-1.375,0.02,0.004359788
-1.34375,0.02,0.006141533
-1.3125,0.02,0.00858458
-1.28125,0.02,0.011906659
-1.25,0.02,0.016386623
-1.21875,0.02,0.022377811
-1.1875,0.02,0.030323155
-1.15625,0.02,0.040771793
-1.125,0.02,0.054396862
-1.09375,0.02,0.072013931
-1.0625,0.02,0.094599275
-1.03125,0.02,0.123306996
-1,0.02,0.159483679
-0.96875,0.02,0.204679049
-0.9375,0.02,0.260650852
-0.90625,0.02,0.32936202
-0.875,0.02,0.412968092
-0.84375,0.02,0.513792884
-0.8125,0.02,0.634290604
-0.78125,0.02,0.776992945
-0.75,0.02,0.944440224
-0.71875,0.02,1.139096391
-0.6875,0.02,1.363248647
-0.65625,0.02,1.618893472
-0.625,0.02,1.907612082
-0.59375,0.02,2.230439518
-0.5625,0.02,2.587732799
-0.53125,0.02,2.979044574
-0.5,0.02,3.403009505
-0.46875,0.02,3.857251101
-0.4375,0.02,4.338316659
-0.40625,0.02,4.84164755
-0.375,0.02,5.361590977
-0.34375,0.02,5.891457805
-0.3125,0.02,6.423628946
-0.28125,0.02,6.949710328
-0.25,0.02,7.460733731
-0.21875,0.02,7.947397914
-0.1875,0.02,8.400341745
-0.15625,0.02,8.810438607
-0.125,0.02,9.169099415
-0.09375,0.02,9.468570357
-0.0625,0.02,9.702210959
-0.03125,0.02,9.86473678
0,0.02,9.952402919
0.03125,0.02,9.963844416
0.0625,0.02,9.896990853
0.09375,0.02,9.755084072
0.125,0.02,9.540884078
0.15625,0.02,9.259231377
0.1875,0.02,8.916405938
0.21875,0.02,8.519876518
0.25,0.02,8.078027746
0.28125,0.02,7.599866309
0.3125,0.02,7.094717978
0.34375,0.02,6.571929445
0.375,0.02,6.040588059
0.40625,0.02,5.509270791
0.4375,0.02,4.985831427
0.46875,0.02,4.477232363
0.5,0.02,3.989424498
0.53125,0.02,3.527275962
0.5625,0.02,3.094547833
0.59375,0.02,2.693912804
0.625,0.02,2.327011034
0.65625,0.02,1.994536208
0.6875,0.02,1.696344212
0.71875,0.02,1.431576672
0.75,0.02,1.198791955
0.78125,0.02,0.996096933
0.8125,0.02,0.82127379
0.84375,0.02,0.671897307
0.875,0.02,0.545439288
0.90625,0.02,0.439357973
0.9375,0.02,0.351171438
0.96875,0.02,0.278514905
1,0.02,0.219182703
1.03125,0.02,0.171156225
1.0625,0.02,0.132619597
1.09375,0.02,0.101965039
1.125,0.02,0.077789945
1.15625,0.02,0.05888765
1.1875,0.02,0.044233731
1.21875,0.02,0.032969436
1.25,0.02,0.024383612
1.28125,0.02,0.017894236
1.3125,0.02,0.013030374
1.34375,0.02,0.009415192
1.375,0.02,0.006750409
1.40625,0.02,0.004802414
1.4375,0.02,0.003390141
1.46875,0.02,0.002374676
1.5,0.02,0.001650516
1.53125,0.02,0.001138318
1.5625,0.02,0.000778998
1.59375,0.02,0.000528978
1.625,0.02,0.000356424
1.65625,0.02,0.000238301
1.6875,0.02,0.000158093
1.71875,0.02,0.000104071
1.75,0.02,6.80E-05
1.78125,0.02,4.41E-05
1.8125,0.02,2.83E-05
1.84375,0.02,1.81E-05
1.875,0.02,1.15E-05
1.90625,0.02,7.19E-06
1.9375,0.02,4.49E-06
1.96875,0.02,2.78E-06
2,0.02,1.70E-06
2.03125,0.02,1.04E-06
2.0625,0.02,6.27E-07
2.09375,0.02,3.76E-07
2.125,0.02,2.24E-07
2.15625,0.02,1.32E-07
2.1875,0.02,7.74E-08
2.21875,0.02,4.50E-08
2.25,0.02,2.60E-08
2.28125,0.02,1.49E-08
2.3125,0.02,8.45E-09
2.34375,0.02,4.76E-09
2.375,0.02,2.66E-09
2.40625,0.02,1.48E-09
2.4375,0.02,8.14E-10
2.46875,0.02,4.45E-10
2.5,0.02,2.41E-10
2.53125,0.02,1.30E-10
2.5625,0.02,6.92E-11
2.59375,0.02,3.67E-11
2.625,0.02,1.93E-11
2.65625,0.02,1.00E-11
2.6875,0.02,5.20E-12
2.71875,0.02,2.67E-12
2.75,0.02,1.36E-12
2.78125,0.02,6.88E-13
2.8125,0.02,3.45E-13
2.84375,0.02,1.72E-13
2.875,0.02,8.48E-14
2.90625,0.02,4.16E-14
2.9375,0.02,2.02E-14
2.96875,0.02,9.76E-15
3,0.02,4.67E-15
3.03125,0.02,2.22E-15
3.0625,0.02,1.05E-15
3.09375,0.02,4.90E-16
3.125,0.02,2.27E-16
3.15625,0.02,1.05E-16
3.1875,0.02,4.79E-17
3.21875,0.02,2.17E-17
3.25,0.02,9.77E-18
3.28125,0.02,4.36E-18
3.3125,0.02,1.93E-18
3.34375,0.02,8.50E-19
3.375,0.02,3.71E-19
3.40625,0.02,1.60E-19
3.4375,0.02,6.88E-20
3.46875,0.02,2.89E-20
3.5,0.02,1.40E-20
3.53125,0.02,6.13E-21
3.5625,0.02,2.59E-21
3.59375,0.02,1.07E-21
3.625,0.02,4.41E-22
3.65625,0.02,1.80E-22
3.6875,0.02,7.28E-23
3.71875,0.02,2.92E-23
3.75,0.02,1.16E-23
3.78125,0.02,4.60E-24
3.8125,0.02,1.80E-24
3.84375,0.02,7.02E-25
3.875,0.02,2.71E-25
3.90625,0.02,1.04E-25
3.9375,0.02,3.95E-26
3.96875,0.02,1.49E-26
4,0.02,5.58E-27
4.03125,0.02,2.07E-27
4.0625,0.02,7.65E-28
4.09375,0.02,2.80E-28
4.125,0.02,1.02E-28
4.15625,0.02,3.66E-29
4.1875,0.02,1.31E-29
4.21875,0.02,4.64E-30
4.25,0.02,1.63E-30
4.28125,0.02,5.70E-31
4.3125,0.02,1.97E-31
4.34375,0.02,6.79E-32
4.375,0.02,2.32E-32
4.40625,0.02,7.84E-33
4.4375,0.02,2.63E-33
4.46875,0.02,8.78E-34
4.5,0.02,2.90E-34
4.53125,0.02,9.53E-35
4.5625,0.02,3.10E-35
4.59375,0.02,1.00E-35
4.625,0.02,3.22E-36
4.65625,0.02,1.02E-36
4.6875,0.02,3.23E-37
4.71875,0.02,1.01E-37
4.75,0.02,3.15E-38
4.78125,0.02,9.71E-39
4.8125,0.02,2.97E-39
4.84375,0.02,9.03E-40
4.875,0.02,2.72E-40
4.90625,0.02,8.14E-41
4.9375,0.02,2.42E-41
4.96875,0.02,7.11E-42
5,0.02,2.08E-42
5.03125,0.02,6.03E-43
5.0625,0.02,1.73E-43
5.09375,0.02,4.95E-44
5.125,0.02,1.40E-44
5.15625,0.02,3.94E-45
5.1875,0.02,1.10E-45
5.21875,0.02,3.04E-46
5.25,0.02,8.35E-47
5.28125,0.02,2.28E-47
5.3125,0.02,6.16E-48
5.34375,0.02,1.65E-48
5.375,0.02,4.40E-49
5.40625,0.02,1.16E-49
5.4375,0.02,3.05E-50
5.46875,0.02,7.93E-51
5.5,0.02,2.05E-51
5.53125,0.02,5.24E-52
5.5625,0.02,1.33E-52
5.59375,0.02,3.36E-53
5.625,0.02,8.41E-54
5.65625,0.02,2.09E-54
5.6875,0.02,5.14E-55
5.71875,0.02,1.26E-55
5.75,0.02,3.05E-56
5.78125,0.02,7.35E-57
5.8125,0.02,1.76E-57
5.84375,0.02,4.16E-58
5.875,0.02,9.79E-59
5.90625,0.02,2.28E-59
5.9375,0.02,5.29E-60
5.96875,0.02,1.22E-60
6,0.02,2.77E-61
6.03125,0.02,6.27E-62
6.0625,0.02,1.41E-62
6.09375,0.02,3.14E-63
6.125,0.02,6.94E-64
6.15625,0.02,1.52E-64
6.1875,0.02,3.31E-65
6.21875,0.02,7.16E-66
6.25,0.02,1.53E-66
6.28125,0.02,3.26E-67
6.3125,0.02,6.89E-68
6.34375,0.02,1.44E-68
6.375,0.02,3.00E-69
6.40625,0.02,6.18E-70
6.4375,0.02,1.26E-70
6.46875,0.02,2.58E-71
6.5,0.02,6.73E-72
-1.5,0.03,0.001528678
-1.46875,0.03,0.001622626
-1.4375,0.03,0.002032
-1.40625,0.03,0.002819136
-1.375,0.03,0.00399329
-1.34375,0.03,0.005631954
-1.3125,0.03,0.007883396
-1.28125,0.03,0.010949881
-1.25,0.03,0.015091932
-1.21875,0.03,0.020640471
-1.1875,0.03,0.028011327
-1.15625,0.03,0.037721337
-1.125,0.03,0.050405716
-1.09375,0.03,0.066836209
-1.0625,0.03,0.087939327
-1.03125,0.03,0.114813716
-1,0.03,0.148745456
-0.96875,0.03,0.191219837
-0.9375,0.03,0.243927901
-0.90625,0.03,0.308765883
-0.875,0.03,0.38782556
-0.84375,0.03,0.483373502
-0.8125,0.03,0.597817383
-0.78125,0.03,0.733657775
-0.75,0.03,0.893424369
-0.71875,0.03,1.079596196
-0.6875,0.03,1.294506328
-0.65625,0.03,1.540232518
-0.625,0.03,1.818476425
-0.59375,0.03,2.13043524
-0.5625,0.03,2.476670739
-0.53125,0.03,2.856981847
-0.5,0.03,3.270287689
-0.46875,0.03,3.714528608
-0.4375,0.03,4.186592812
-0.40625,0.03,4.682275964
-0.375,0.03,5.196280128
-0.34375,0.03,5.722257136
-0.3125,0.03,6.252899481
-0.28125,0.03,6.780079529
-0.25,0.03,7.295035191
-0.21875,0.03,7.788597413
-0.1875,0.03,8.25145208
-0.15625,0.03,8.674426431
-0.125,0.03,9.048788016
-0.09375,0.03,9.366542749
-0.0625,0.03,9.620717783
-0.03125,0.03,9.805613384
0,0.03,9.917005802
0.03125,0.03,9.951781672
0.0625,0.03,9.910958718
0.09375,0.03,9.793499649
0.125,0.03,9.602868883
0.15625,0.03,9.34337738
0.1875,0.03,9.020822147
0.21875,0.03,8.642265723
0.25,0.03,8.215771851
0.28125,0.03,7.750119271
0.3125,0.03,7.254502969
0.34375,0.03,6.738235743
0.375,0.03,6.210463329
0.40625,0.03,5.679904916
0.4375,0.03,5.154628768
0.46875,0.03,4.641870132
0.5,0.03,4.147895862
0.53125,0.03,3.677917385
0.5625,0.03,3.236051043
0.59375,0.03,2.825322486
0.625,0.03,2.447709984
0.65625,0.03,2.104220098
0.6875,0.03,1.794988386
0.71875,0.03,1.51939746
0.75,0.03,1.276204953
0.78125,0.03,1.063674464
0.8125,0.03,0.879703501
0.84375,0.03,0.721943464
0.875,0.03,0.587907961
0.90625,0.03,0.475066906
0.9375,0.03,0.380925023
0.96875,0.03,0.303084352
1,0.03,0.239291251
1.03125,0.03,0.187468981
1.0625,0.03,0.145737499
1.09375,0.03,0.11242231
1.125,0.03,0.086054383
1.15625,0.03,0.065363122
1.1875,0.03,0.049264252
